data_point_id,bank,metric,period,unit,checksum_expected,checksum_note,px_value,px_source,px_comment,px_version,cl_value,cl_source,cl_comment,cl_version,reconciled_value,reconciliation_status,reconciliation_note
DBS_NIMgroup_2016,DBS,NIMgroup,2016,%,,,1.8,DBS 4Q Performance Summary / AR five-year summary (dbs.com),Tier-1 primary; as printed,20260716-001 PxClOpus4.8,1.8,DBS 4Q17 Perf Summary,,20260716-001 CwClOpus4.8,1.8,match,
DBS_NIMgroup_2017,DBS,NIMgroup,2017,%,,,1.75,DBS 4Q Performance Summary / AR five-year summary (dbs.com),Tier-1 primary; as printed,20260716-001 PxClOpus4.8,1.75,DBS 4Q17 Perf Summary,,20260716-001 CwClOpus4.8,1.75,match,
DBS_NIMgroup_2018,DBS,NIMgroup,2018,%,1.85,,1.85,DBS 4Q Performance Summary / AR five-year summary (dbs.com),Tier-1 primary; as printed,20260716-001 PxClOpus4.8,1.85,DBS 4Q19 Perf Summary,,20260716-001 CwClOpus4.8,1.85,match,
DBS_NIMgroup_2019,DBS,NIMgroup,2019,%,,,1.89,DBS 4Q Performance Summary / AR five-year summary (dbs.com),Tier-1 primary; as printed,20260716-001 PxClOpus4.8,1.89,DBS 4Q19 Perf Summary,,20260716-001 CwClOpus4.8,1.89,match,
DBS_NIMgroup_2020,DBS,NIMgroup,2020,%,1.62,,1.62,DBS 4Q Performance Summary / AR five-year summary (dbs.com),Tier-1 primary; as printed,20260716-001 PxClOpus4.8,1.62,DBS 4Q21 Perf Summary,,20260716-001 CwClOpus4.8,1.62,match,
DBS_NIMgroup_2021,DBS,NIMgroup,2021,%,1.45,,1.45,DBS 4Q Performance Summary / AR five-year summary (dbs.com),Tier-1 primary; as printed,20260716-001 PxClOpus4.8,1.45,DBS 4Q21 Perf Summary,,20260716-001 CwClOpus4.8,1.45,match,
DBS_NIMgroup_2022,DBS,NIMgroup,2022,%,1.75,,1.75,DBS 4Q Performance Summary / AR five-year summary (dbs.com),Tier-1 primary; as printed,20260716-001 PxClOpus4.8,1.75,DBS 4Q23 Perf Summary (audited IS p24),,20260716-001 CwClOpus4.8,1.75,match,
DBS_NIMgroup_2023,DBS,NIMgroup,2023,%,2.15,,2.15,DBS 4Q Performance Summary / AR five-year summary (dbs.com),Tier-1 primary; as printed,20260716-001 PxClOpus4.8,2.15,DBS 4Q23 Perf Summary (audited IS p24),,20260716-001 CwClOpus4.8,2.15,match,
DBS_NIMgroup_2024,DBS,NIMgroup,2024,%,,,2.13,DBS 4Q Performance Summary / AR five-year summary (dbs.com),Tier-1 primary; as printed,20260716-001 PxClOpus4.8,2.13,DBS 4Q25 Perf Summary,,20260716-001 CwClOpus4.8,2.13,match,
DBS_NIMgroup_2025,DBS,NIMgroup,2025,%,2.01,canary,2.01,DBS 4Q Performance Summary / AR five-year summary (dbs.com),"Tier-1 primary; canary PASS (FY2025 NIM = 2.01%, matches checksum 2.01)",20260716-001 PxClOpus4.8,2.01,DBS 4Q25 Perf Summary,,20260716-001 CwClOpus4.8,2.01,match,
OCBC_NIMgroup_2016,OCBC,NIMgroup,2016,%,,,1.67,OCBC AR / Media Release (ocbc.com),Tier-1 primary; group NIM as printed,20260716-001 PxClOpus4.8,1.67,OCBC FY17 Financial Results,,20260716-001 CwClOpus4.8,1.67,match,
OCBC_NIMgroup_2017,OCBC,NIMgroup,2017,%,,,1.65,OCBC AR / Media Release (ocbc.com),Tier-1 primary; group NIM as printed,20260716-001 PxClOpus4.8,1.65,OCBC FY17 Financial Results,,20260716-001 CwClOpus4.8,1.65,match,
OCBC_NIMgroup_2018,OCBC,NIMgroup,2018,%,,,1.7,OCBC AR / Media Release (ocbc.com),Tier-1 primary; group NIM as printed,20260716-001 PxClOpus4.8,1.7,OCBC FY19 Financial Results,,20260716-001 CwClOpus4.8,1.7,match,
OCBC_NIMgroup_2019,OCBC,NIMgroup,2019,%,,,1.77,OCBC AR / Media Release (ocbc.com),Tier-1 primary; group NIM as printed,20260716-001 PxClOpus4.8,1.77,OCBC FY19 Financial Results,,20260716-001 CwClOpus4.8,1.77,match,
OCBC_NIMgroup_2020,OCBC,NIMgroup,2020,%,1.61,,1.61,OCBC AR / Media Release (ocbc.com),Tier-1 primary; group NIM as printed,20260716-001 PxClOpus4.8,1.61,OCBC FY21 Media Release,,20260716-001 CwClOpus4.8,1.61,match,
