bank,metric,period,unit,value,source,comment,version
HSBC,CustomerDeposits,FY2025,USD m,1786828,"HSBC 2025 Annual Results media release, 25 Feb 2026 (hsbc.com/investors)","Customer accounts, consolidated balance sheet (group), not interbank",20260724-001 CwClOpus4.8
HSBC,WealthAUM,FY2025,USD m,1500000,"HSBC 2025 Annual Results media release, 25 Feb 2026 (hsbc.com/investors)",Label: 'Invested assets' ~US$1.5tn FY2025. Broader 'Wealth balances' ~US$2.1tn (restated ~US$1.6tn from 2026) also disclosed; definition-sensitive,20260724-001 CwClOpus4.8
HSBC,TotalRevenue,FY2025,USD m,68274,"HSBC 2025 Annual Results media release, 25 Feb 2026 (hsbc.com/investors)",Net operating income before change in ECL (HSBC 'revenue' basis),20260724-001 CwClOpus4.8
HSBC,NetProfit,FY2025,USD m,21102,"HSBC 2025 Annual Results media release, 25 Feb 2026 (hsbc.com/investors)",Profit attributable to ordinary shareholders of the parent (profit for year 23131; PBT 29907),20260724-001 CwClOpus4.8
HSBC,BookEquity,FY2025,USD m,198225,"HSBC 2025 Annual Results media release, 25 Feb 2026 (hsbc.com/investors)",Total ordinary shareholders' equity ex-NCI (NCI 7441; incl NCI 205666),20260724-001 CwClOpus4.8
HSBC,MarketCap,2026-07-23,USD m,348460,"stockanalysis.com (market data, 23 Jul 2026)","Market data, not a filing; ~US$348.46bn",20260724-001 CwClOpus4.8
HSBC,TopOtherRevenue,FY2025,% of total revenue,trading/FV income 28.8%; net fee income 19.5%; insurance service revenue 4.7%,"HSBC 2025 Annual Results media release, 25 Feb 2026 (hsbc.com/investors)",Top-3 non-NII categories as % of revenue (NII 34794 excluded),20260724-001 CwClOpus4.8
UBS,CustomerDeposits,FY2025,USD m,788367,"UBS Group 4Q25 Report (consolidated), FY ended 31 Dec 2025 (ubs.com/investor-relations)","Customer deposits, group balance sheet",20260724-001 CwClOpus4.8
UBS,WealthAUM,FY2025,USD m,4753000,"UBS Group 4Q25 Report (consolidated), FY ended 31 Dec 2025 (ubs.com/investor-relations)","Label: 'Invested assets', Global Wealth Management (group-wide invested assets ~US$7,005bn)",20260724-001 CwClOpus4.8
UBS,TotalRevenue,FY2025,USD m,49573,"UBS Group 4Q25 Report (consolidated), FY ended 31 Dec 2025 (ubs.com/investor-relations)",Total revenues,20260724-001 CwClOpus4.8
UBS,NetProfit,FY2025,USD m,7767,"UBS Group 4Q25 Report (consolidated), FY ended 31 Dec 2025 (ubs.com/investor-relations)",Net profit attributable to shareholders,20260724-001 CwClOpus4.8
UBS,BookEquity,FY2025,USD m,90213,"UBS Group 4Q25 Report (consolidated), FY ended 31 Dec 2025 (ubs.com/investor-relations)",Equity attributable to shareholders ex-NCI,20260724-001 CwClOpus4.8
UBS,MarketCap,2026-07-23,USD m,160440,"stockanalysis.com (market data, 23 Jul 2026; NYSE:UBS / SIX:UBSG)","Market data, not a filing; ~US$160.44bn",20260724-001 CwClOpus4.8
UBS,TopOtherRevenue,FY2025,% of total revenue,net fee & commission income 56.3%; other net income from FI at FVTPL (trading) 28.3%; 3rd n/d,"UBS Group 4Q25 Report (consolidated), FY ended 31 Dec 2025 (ubs.com/investor-relations)",Only two large non-NII lines disclosed; no comparable 3rd category (n/d),20260724-001 CwClOpus4.8
JPMorgan Chase,CustomerDeposits,FY2025,USD m,2559000,JPMorgan Chase FY2025 earnings release / 2025 10-K (jpmorganchaseco.gcs-web.com; SEC),"Total deposits, consolidated balance sheet (~US$2.559tn)",20260724-001 CwClOpus4.8
JPMorgan Chase,WealthAUM,FY2025,USD m,4800000,JPMorgan Chase FY2025 earnings release / 2025 10-K (jpmorganchaseco.gcs-web.com; SEC),"Asset & Wealth Management AUM ~US$4.8tn; AWM 'client assets' ~US$7.1tn (broader, incl institutional AM)",20260724-001 CwClOpus4.8
JPMorgan Chase,TotalRevenue,FY2025,USD m,182400,JPMorgan Chase FY2025 earnings release / 2025 10-K (jpmorganchaseco.gcs-web.com; SEC),"Total net revenue, reported/GAAP (net of interest expense); managed basis ~185600",20260724-001 CwClOpus4.8
JPMorgan Chase,NetProfit,FY2025,USD m,57000,JPMorgan Chase FY2025 earnings release / 2025 10-K (jpmorganchaseco.gcs-web.com; SEC),Net income,20260724-001 CwClOpus4.8
JPMorgan Chase,BookEquity,FY2025,USD m,362000,JPMorgan Chase FY2025 earnings release / 2025 10-K (jpmorganchaseco.gcs-web.com; SEC),Total stockholders' equity (incl preferred ~US$27bn; common equity ~US$335bn),20260724-001 CwClOpus4.8
JPMorgan Chase,MarketCap,2026-07-22,USD m,925600,"market data (NYSE:JPM, 22 Jul 2026)","Market data, not a filing; ~US$925.6bn",20260724-001 CwClOpus4.8
JPMorgan Chase,TopOtherRevenue,FY2025,% of total revenue,asset management fees 11.1%; investment banking fees ~5.6%; card income 2.6%,JPMorgan Chase FY2025 earnings release / 2025 10-K (jpmorganchaseco.gcs-web.com; SEC),Top-3 non-NII categories as % of reported total net revenue,20260724-001 CwClOpus4.8
Bank of America,CustomerDeposits,FY2025,USD m,2018700,Bank of America FY2025 press release / 2025 annual report (investor.bankofamerica.com; SEC),"Total deposits, consolidated balance sheet (~US$2.02tn)",20260724-001 CwClOpus4.8
Bank of America,WealthAUM,FY2025,USD m,4800000,Bank of America FY2025 press release / 2025 annual report (investor.bankofamerica.com; SEC),"GWIM 'total client balances' ~US$4.8tn (incl AUM, brokerage, deposits, loans) - broader than AUM",20260724-001 CwClOpus4.8
Bank of America,TotalRevenue,FY2025,USD m,113100,Bank of America FY2025 press release / 2025 annual report (investor.bankofamerica.com; SEC),"Total revenue net of interest expense, reported/GAAP",20260724-001 CwClOpus4.8
Bank of America,NetProfit,FY2025,USD m,30500,Bank of America FY2025 press release / 2025 annual report (investor.bankofamerica.com; SEC),Net income (diluted EPS US$3.81),20260724-001 CwClOpus4.8
Bank of America,BookEquity,FY2025,USD m,303200,Bank of America FY2025 press release / 2025 annual report (investor.bankofamerica.com; SEC),Total shareholders' equity (incl preferred ~US$28bn),20260724-001 CwClOpus4.8
Bank of America,MarketCap,2026-07-20,USD m,424000,"market data (NYSE:BAC, 20 Jul 2026)","Market data, not a filing; ~US$424bn",20260724-001 CwClOpus4.8
Bank of America,TopOtherRevenue,FY2025,% of total revenue,asset management fees 13.8%; investment banking fees 5.9%; service charges 5.7%,Bank of America FY2025 press release / 2025 annual report (investor.bankofamerica.com; SEC),Top-3 non-NII categories as % of total revenue,20260724-001 CwClOpus4.8
Standard Chartered,CustomerDeposits,FY2025,USD m,530161,"Standard Chartered PLC FY2025 results press release, 24 Feb 2026 (sc.com)","Customer accounts, group balance sheet 31 Dec 2025 (incl FVTPL + repos)",20260724-001 CwClOpus4.8
Standard Chartered,WealthAUM,FY2025,USD m,447000,"Standard Chartered PLC FY2025 results press release, 24 Feb 2026 (sc.com)","Label: 'Affluent AUM' (Wealth & Retail Banking), US$447bn at 31 Dec 2025; affluent NNM US$52bn",20260724-001 CwClOpus4.8
Standard Chartered,TotalRevenue,FY2025,USD m,20942,"Standard Chartered PLC FY2025 results press release, 24 Feb 2026 (sc.com)",Statutory reported operating income (underlying operating income 20894),20260724-001 CwClOpus4.8
Standard Chartered,NetProfit,FY2025,USD m,5085,"Standard Chartered PLC FY2025 results press release, 24 Feb 2026 (sc.com)",Profit attributable to parent company shareholders (to ordinary holders 4558 after AT1/pref),20260724-001 CwClOpus4.8
Standard Chartered,BookEquity,FY2025,USD m,46593,"Standard Chartered PLC FY2025 results press release, 24 Feb 2026 (sc.com)",Ordinary shareholders' equity ex-AT1(7528)/NCI(465); total equity 54586,20260724-001 CwClOpus4.8
Standard Chartered,MarketCap,2026-07-03,USD m,58000,"LSE:STAN market data, 3 Jul 2026 (Yahoo Finance)",Priced in GBP ~GBP45.67bn (GBX2100/sh) x ~1.27 GBPUSD => ~US$58bn; FX conversion for USD ratio consistency; approximate,20260724-001 CwClOpus4.8
Standard Chartered,TopOtherRevenue,FY2025,% of total revenue,net trading & other income 51.3%; net fees & commission 20.3% (reported basis),"Standard Chartered PLC FY2025 results press release, 24 Feb 2026 (sc.com)",Reported non-NII inflated by Apr-2025 re-presentation; underlying non-NII 46.5% led by Wealth Solutions US$3086m,20260724-001 CwClOpus4.8
China Merchants Bank,CustomerDeposits,FY2025,CNY m,9836130,"China Merchants Bank 2025 preliminary annual results (HKEx, 23 Jan 2026) & 2025 results highlights",Total deposits from customers (+8.13% YoY; excl accrued interest),20260724-001 CwClOpus4.8
China Merchants Bank,WealthAUM,FY2025,CNY m,17080000,"China Merchants Bank 2025 preliminary annual results (HKEx, 23 Jan 2026) & 2025 results highlights","Label: 'balance of total AUM for retail customers' (零售客户总资产/AUM) RMB17.08tn at 31 Dec 2025, +14.44% YoY",20260724-001 CwClOpus4.8
China Merchants Bank,TotalRevenue,FY2025,CNY m,337532,"China Merchants Bank 2025 preliminary annual results (HKEx, 23 Jan 2026) & 2025 results highlights","Operating income (营业收入), preliminary +0.01%; 'net operating income' 337273 also cited",20260724-001 CwClOpus4.8
China Merchants Bank,NetProfit,FY2025,CNY m,150181,"China Merchants Bank 2025 preliminary annual results (HKEx, 23 Jan 2026) & 2025 results highlights",Net profit attributable to shareholders of the Bank (+1.21%),20260724-001 CwClOpus4.8
China Merchants Bank,BookEquity,FY2025,CNY m,1272875,"China Merchants Bank 2025 preliminary annual results (HKEx, 23 Jan 2026) & 2025 results highlights",Equity attributable to shareholders of the Bank (+3.82%),20260724-001 CwClOpus4.8
China Merchants Bank,MarketCap,2026-07-06,CNY m,951500,"SSE:600036 market data, 6 Jul 2026 (Eastmoney)",A-share basis: 25220m shares x A-share RMB37.73; H-shares (3968) trade at discount so true A+H lower; no Tier-1 combined figure,20260724-001 CwClOpus4.8
China Merchants Bank,TopOtherRevenue,FY2025,% of total revenue,net fee & commission income 22.3%; other net non-interest income ~13.8%,"China Merchants Bank 2025 preliminary annual results (HKEx, 23 Jan 2026) & 2025 results highlights",Top non-NII categories as % of operating income (wealth-mgmt fee RMB26711m +21.39%); NII ~63.9%,20260724-001 CwClOpus4.8
Commonwealth Bank,CustomerDeposits,FY2025-Jun,AUD m,936648,"CBA FY2025 Profit Announcement (ASX, 13 Aug 2025) - commbank.com.au",Interest-bearing 822109 + non-interest-bearing transaction deposits 114539 (B/S 'Deposits and other public borrowings' 937857),20260724-001 CwClOpus4.8
Commonwealth Bank,WealthAUM,FY2025-Jun,AUD m,n/d,"CBA FY2025 Profit Announcement (ASX, 13 Aug 2025) - commbank.com.au",FINDING: no comparable wealth/private-bank client-asset figure post-Colonial First State divestment; only funds-mgmt AUM-average A$20712m disclosed,20260724-001 CwClOpus4.8
Commonwealth Bank,TotalRevenue,FY2025-Jun,AUD m,28290,"CBA FY2025 Profit Announcement (ASX, 13 Aug 2025) - commbank.com.au","Total net operating income, statutory (NII 24023 + net other operating income 4267)",20260724-001 CwClOpus4.8
Commonwealth Bank,NetProfit,FY2025-Jun,AUD m,10116,"CBA FY2025 Profit Announcement (ASX, 13 Aug 2025) - commbank.com.au",Statutory NPAT attributable to equity holders (continuing ops 10133),20260724-001 CwClOpus4.8
Commonwealth Bank,BookEquity,FY2025-Jun,AUD m,78776,"CBA FY2025 Profit Announcement (ASX, 13 Aug 2025) - commbank.com.au",Total shareholders' equity (no minority interest),20260724-001 CwClOpus4.8
Commonwealth Bank,MarketCap,2026-07,AUD m,290990,"ASX:CBA market data, July 2026","Market data, not a filing; A$290.99bn",20260724-001 CwClOpus4.8
Commonwealth Bank,TopOtherRevenue,FY2025-Jun,% of total revenue,net other operating income 15.1%; 2nd/3rd n/d,"CBA FY2025 Profit Announcement (ASX, 13 Aug 2025) - commbank.com.au",CBA discloses only one non-NII line at group level; top-3 split n/d,20260724-001 CwClOpus4.8
DBS,CustomerDeposits,FY2025,SGD m,610023,DBS Group FY2025 results release & Annual Report 2025 financial statements (dbs.com),Deposits and balances from customers,20260724-001 CwClOpus4.8
DBS,WealthAUM,FY2025,SGD m,488000,DBS Group FY2025 results release & Annual Report 2025 financial statements (dbs.com),Wealth management AUM 'to a new high of SGD488 billion',20260724-001 CwClOpus4.8
DBS,TotalRevenue,FY2025,SGD m,22900,DBS Group FY2025 results release & Annual Report 2025 financial statements (dbs.com),Total income (NII ~14500 + non-interest ~8400),20260724-001 CwClOpus4.8
DBS,NetProfit,FY2025,SGD m,10933,DBS Group FY2025 results release & Annual Report 2025 financial statements (dbs.com),Net profit attributable to shareholders of the parent. NOTE cross-check: reconciled ledger has 11033 (delta 100) - flag for reconcile-ledger,20260724-001 CwClOpus4.8
DBS,BookEquity,FY2025,SGD m,68867,DBS Group FY2025 results release & Annual Report 2025 financial statements (dbs.com),Shareholders' funds (total equity incl NCI 68916),20260724-001 CwClOpus4.8
DBS,MarketCap,2026-07-24,SGD m,208830,"SGX:D05 market data, 24 Jul 2026","Market data, not a filing; S$208.83bn",20260724-001 CwClOpus4.8
DBS,TopOtherRevenue,FY2025,% of total revenue,net fee & commission 21.4%; net trading income 14.7%; net income from investment securities 0.4%,DBS Group FY2025 results release & Annual Report 2025 financial statements (dbs.com),Top-3 non-NII categories as % of total income,20260724-001 CwClOpus4.8
OCBC,CustomerDeposits,FY2025,SGD m,428286,"OCBC FY2025 media release / financial highlights, 25 Feb 2026 (ocbc.com)",Deposits of non-bank customers,20260724-001 CwClOpus4.8
OCBC,WealthAUM,FY2025,SGD m,343000,"OCBC FY2025 media release / financial highlights, 25 Feb 2026 (ocbc.com)",Banking WM AUM +15% 'to a new high of S$343 billion',20260724-001 CwClOpus4.8
OCBC,TotalRevenue,FY2025,SGD m,14614,"OCBC FY2025 media release / financial highlights, 25 Feb 2026 (ocbc.com)",Total income (NII ~9150 + non-interest ~5464),20260724-001 CwClOpus4.8
OCBC,NetProfit,FY2025,SGD m,7422,"OCBC FY2025 media release / financial highlights, 25 Feb 2026 (ocbc.com)",Net profit attributable to equity holders,20260724-001 CwClOpus4.8
OCBC,BookEquity,FY2025,SGD m,61768,"OCBC FY2025 media release / financial highlights, 25 Feb 2026 (ocbc.com)",Equity attributable to equity holders of the Bank (ordinary equity 60070),20260724-001 CwClOpus4.8
OCBC,MarketCap,2026-07,SGD m,129760,"SGX:O39 market data, July 2026","Market data, not a filing; S$129.76bn",20260724-001 CwClOpus4.8
OCBC,TopOtherRevenue,FY2025,% of total revenue,fees & commissions 16.5%; trading income 11.5%; life & general insurance income 7.3%,"OCBC FY2025 media release / financial highlights, 25 Feb 2026 (ocbc.com)",Top-3 non-NII categories as % of total income,20260724-001 CwClOpus4.8
UOB,CustomerDeposits,FY2025,SGD m,425938,"UOB Condensed Financial Statements 2H/FY2025 (audited, 24 Feb 2026) (uobgroup.com)",Customer deposits,20260724-001 CwClOpus4.8
UOB,WealthAUM,FY2025,SGD m,201000,"UOB Condensed Financial Statements 2H/FY2025 (audited, 24 Feb 2026) (uobgroup.com)",High-net-worth AUM +6% to S$201bn (narrower HNW base vs DBS/OCBC banking WM AUM),20260724-001 CwClOpus4.8
UOB,TotalRevenue,FY2025,SGD m,13808,"UOB Condensed Financial Statements 2H/FY2025 (audited, 24 Feb 2026) (uobgroup.com)",Total income (NII 9355 + net fee 2569 + other non-interest 1884),20260724-001 CwClOpus4.8
UOB,NetProfit,FY2025,SGD m,4682,"UOB Condensed Financial Statements 2H/FY2025 (audited, 24 Feb 2026) (uobgroup.com)",Net profit attributable to equity holders of the Bank,20260724-001 CwClOpus4.8
UOB,BookEquity,FY2025,SGD m,51248,"UOB Condensed Financial Statements 2H/FY2025 (audited, 24 Feb 2026) (uobgroup.com)",Shareholders' equity,20260724-001 CwClOpus4.8
UOB,MarketCap,2026-07-24,SGD m,70600,"SGX:U11 market data, 24 Jul 2026","Market data, not a filing; S$70.60bn",20260724-001 CwClOpus4.8
UOB,TopOtherRevenue,FY2025,% of total revenue,net fee & commission 18.6%; other non-interest income 13.6%; 3rd n/d,"UOB Condensed Financial Statements 2H/FY2025 (audited, 24 Feb 2026) (uobgroup.com)",Only two non-NII lines disclosed at group level; 3rd category n/d,20260724-001 CwClOpus4.8
